df_dist_5	df_dist_10	df_dist_20	df_dist_30
0.0022	0.0023	0.0024	0.0022
0.0011	0.0012	0.0012	0.0011
0.0021	0.0023	0.0022	0.0021
0.0011	0.0012	0.0011	0.0011
0.0046	0.0046	0.0046	0.0045
0.0024	0.0023	0.0023	0.0023
0.0045	0.0044	0.0043	0.0043
0.0024	0.0022	0.0022	0.0023
0.007	0.0068	0.0068	0.0071
0.0037	0.0034	0.0033	0.0036
0.0069	0.0065	0.0064	0.0067
0.0036	0.0033	0.0032	0.0036
0.0095	0.0087	0.0094	0.0098
0.0049	0.0044	0.0047	0.005
0.0093	0.0084	0.0089	0.0092
0.0048	0.0042	0.0045	0.0049
0.012	0.0115	0.0118	0.013
0.0061	0.0058	0.006	0.0067
0.0117	0.0111	0.0112	0.0122
0.006	0.0056	0.0058	0.0065
0.0146	0.0141	0.014	0.0157
0.0074	0.0072	0.0069	0.008
0.0142	0.0136	0.0132	0.0148
0.0074	0.0068	0.0066	0.0078
0.0166	0.0164	0.0168	0.0189
0.0083	0.0083	0.0082	0.0097
0.0162	0.0158	0.0158	0.0178
0.0082	0.008	0.0079	0.0094
0.0184	0.0182	0.0186	0.0208
0.009	0.0093	0.0089	0.0106
0.0179	0.0176	0.0176	0.0196
0.009	0.009	0.0086	0.0104
0.0218	0.0197	0.0216	0.0229
0.0108	0.01	0.0104	0.0115
0.0213	0.0191	0.0204	0.0216
0.0107	0.0097	0.01	0.0113
0.0257	0.022	0.0227	0.0262
0.013	0.011	0.0109	0.0133
0.0251	0.0213	0.0214	0.0248
0.0128	0.0108	0.0106	0.0132
0.028	0.0244	0.0253	0.0293
0.0142	0.0121	0.0121	0.0148
0.0274	0.0237	0.0238	0.0276
0.0141	0.0118	0.0116	0.0147
0.0303	0.026	0.0259	0.0299
0.0153	0.0132	0.0122	0.0151
0.0296	0.0252	0.0245	0.0283
0.0152	0.0128	0.0118	0.0149
